round,n_clusters,n_ch,alive_nodes,dead_nodes,avg_residual_energy_J,total_residual_energy_J
1,10,10,100,0,0.981183,98.11832
2,12,12,100,0,0.969791,96.979109
3,15,15,100,0,0.952312,95.231192
4,9,9,100,0,0.940156,94.015631
5,13,13,100,0,0.929924,92.992436
6,8,8,100,0,0.916132,91.613187
7,9,9,100,0,0.903948,90.39477
8,12,12,100,0,0.892266,89.226587
9,12,12,100,0,0.87531,87.531024
10,1,1,100,0,0.825198,82.519829
11,1,1,100,0,0.753782,75.378156
12,3,3,100,0,0.730505,73.050482
13,4,4,100,0,0.705189,70.518856
14,10,10,100,0,0.693552,69.355179
15,4,4,100,0,0.666006,66.600568
16,8,8,100,0,0.653261,65.326074
17,16,16,100,0,0.640643,64.06429
18,26,26,100,0,0.625758,62.575815
19,27,27,100,0,0.610469,61.04686
20,1,1,100,0,0.560357,56.035666
