cluster_id,sent,received,lost,collided,PDR,energy_J,bits_per_joule
0,2472,2330,95,47,0.9426,1.060437,351553.0918
1,2366,2224,97,45,0.94,1.064207,334371.0053
2,3188,2988,156,44,0.9373,1.380658,346269.633
3,2553,2379,138,36,0.9318,1.082757,351546.9298
4,2320,2168,109,43,0.9345,0.999322,347115.1818
5,2312,2209,78,25,0.9554,0.953438,370700.5052
6,2040,1925,86,29,0.9436,0.898693,342720.0498
7,1922,1816,67,39,0.9448,0.770087,377307.8666
8,2419,2304,89,26,0.9525,1.091522,337730.2636
9,2326,2211,84,31,0.9506,0.984044,359496.205
